date,balance
2011-08-25,32875963083.0
2011-08-26,33107670449.0
2011-08-29,33611705079.0
2011-08-30,33915304773.0
2011-08-31,34045014173.0
2011-09-01,33984824875.0
2011-09-02,34044542392.0
2011-09-05,34167305269.0
2011-09-06,34261961515.0
2011-09-07,34285736818.0
2011-09-08,34374187488.0
2011-09-09,34207566811.0
2011-09-13,34308354917.0
2011-09-14,34267364544.0
2011-09-15,34112527974.0
2011-09-16,34096615388.0
2011-09-19,34170690914.0
2011-09-20,34273383738.0
2011-09-21,34208483517.0
2011-09-22,34562570922.0
2011-09-23,34489661500.0
2011-09-26,34324072488.0
2011-09-27,34516216510.0
2011-09-28,34286783620.0
2011-09-29,34045264312.0
2011-09-30,33386311654.0
2011-10-10,33249409769.0
2011-10-11,33187116336.0
2011-10-12,33293364677.0
2011-10-13,33472320328.0
2011-10-14,33310101233.0
2011-10-17,33260346613.0
2011-10-18,33197467451.0
2011-10-19,33275832471.0
2011-10-20,33289645305.0
2011-10-21,33044742455.0
2011-10-24,32789139579.0
2011-10-25,32805099221.0
2011-10-26,32781714752.0
2011-10-27,32990835942.0
2011-10-28,32743377296.0
2011-10-31,33066761084.0
2011-11-01,33331207064.0
2011-11-02,33767838912.0
2011-11-03,34168148657.0
2011-11-04,34325607019.0
2011-11-07,34720686894.0
2011-11-08,35007829775.0
2011-11-09,35453102968.0
2011-11-10,35785186295.0
2011-11-11,35794298089.0
2011-11-14,36068334328.0
2011-11-15,36380107554.0
2011-11-16,36770666559.0
2011-11-17,36916766869.0
2011-11-18,36926839326.0
2011-11-21,37123235360.0
2011-11-22,37172169915.0
2011-11-23,37140810469.0
2011-11-24,37247562212.0
2011-11-25,37207977666.0
2011-11-28,37210577375.0
2011-11-29,37238860095.0
2011-11-30,37179826691.0
2011-12-01,37046424501.0
2011-12-02,37092909884.0
2011-12-05,37069115816.0
2011-12-06,37021131217.0
2011-12-07,37083818976.0
2011-12-08,37249538974.0
2011-12-09,37227891799.0
2011-12-12,37254351754.0
2011-12-13,37322562561.0
2011-12-14,37345722227.0
2011-12-15,37227993272.0
2011-12-16,37395898599.0
2011-12-19,37693054961.0
2011-12-20,37803755290.0
2011-12-21,37713906346.0
2011-12-22,37673416341.0
2011-12-23,37483276293.0
2011-12-26,37555915553.0
2011-12-27,37634092205.0
2011-12-28,37731968075.0
2011-12-29,37790062783.0
2011-12-30,37547763869.0
2012-01-04,37469483858.0
2012-01-05,37105039227.0
2012-01-06,37157551463.0
2012-01-09,36819527437.0
2012-01-10,36610298341.0
2012-01-11,36719094477.0
2012-01-12,36573117005.0
2012-01-13,36332084716.0
2012-01-16,36239708865.0
2012-01-17,36136961784.0
2012-01-18,36107528011.0
2012-01-19,35429631303.0
2012-01-20,33769261529.0
2012-01-30,34549737793.0
2012-01-31,34981330416.0
2012-02-01,35322657944.0
2012-02-02,35413510374.0
2012-02-03,35395710917.0
2012-02-06,35798599476.0
2012-02-07,36480219576.0
2012-02-08,36412894089.0
2012-02-09,36343657803.0
2012-02-10,36226407093.0
2012-02-13,36787366046.0
2012-02-14,37087201608.0
2012-02-15,37436439839.0
2012-02-16,37834797516.0
2012-02-17,37817367209.0
2012-02-20,38152376929.0
2012-02-21,38334170434.0
2012-02-22,38501337259.0
2012-02-23,38740961849.0
2012-02-24,38564454447.0
2012-02-27,38944217843.0
2012-02-28,39364675657.0
2012-02-29,39759473044.0
2012-03-01,40358229914.0
2012-03-02,40796907057.0
2012-03-05,41449302758.0
2012-03-06,41995976925.0
2012-03-07,42384860674.0
2012-03-08,42707392682.0
2012-03-09,42902781236.0
2012-03-12,43777299675.0
2012-03-13,44157986769.0
2012-03-14,44690498708.0
2012-03-15,44828188015.0
2012-03-16,44784088273.0
2012-03-19,45547380734.0
2012-03-20,45930356205.0
2012-03-21,46353465107.0
2012-03-22,46485463678.0
2012-03-23,46510704454.0
2012-03-26,46547923870.0
2012-03-27,46865027087.0
2012-03-28,46984968711.0
2012-03-29,46706248053.0
2012-03-30,45893676952.0
2012-04-05,46186469764.0
2012-04-06,46387793995.0
2012-04-09,46449257173.0
2012-04-10,46395409408.0
2012-04-11,46789603694.0
2012-04-12,46711520618.0
2012-04-13,46370193321.0
2012-04-16,46734759944.0
2012-04-17,47027659605.0
2012-04-18,47036637106.0
2012-04-19,47128155591.0
2012-04-20,47061147008.0
2012-04-23,47445990128.0
2012-04-24,47555805861.0
2012-04-25,47666113969.0
2012-04-26,47713793392.0
2012-04-27,47395498715.0
2012-05-02,47662804784.0
2012-05-03,48288616930.0
2012-05-04,48302110075.0
2012-05-07,48996940148.0
2012-05-08,49610808556.0
2012-05-09,50389300088.0
2012-05-10,51050169695.0
2012-05-11,51194874722.0
2012-05-14,51846828998.0
2012-05-15,52390460095.0
2012-05-16,53124181363.0
2012-05-17,53266509811.0
2012-05-18,53237518550.0
2012-05-21,53670264902.0
2012-05-22,53684514455.0
2012-05-23,53804616437.0
2012-05-24,54507310978.0
2012-05-25,54527539459.0
2012-05-28,54569411243.0
2012-05-29,54606383729.0
2012-05-30,55036080387.0
2012-05-31,55770593615.0
2012-06-01,55788771351.0
2012-06-04,56697055807.0
2012-06-05,57005767153.0
2012-06-06,57315173568.0
2012-06-07,57475991252.0
2012-06-08,57323878084.0
2012-06-11,57645060116.0
2012-06-12,57859137155.0
2012-06-13,58188345584.0
2012-06-14,58245067620.0
2012-06-15,58289895942.0
2012-06-18,58842202523.0
2012-06-19,59092799848.0
2012-06-20,59140290406.0
2012-06-21,59462689214.0
2012-06-25,59699063285.0
2012-06-26,59808158372.0
2012-06-27,59951846948.0
2012-06-28,60052296068.0
2012-06-29,59838187129.0
2012-07-02,60303454345.0
2012-07-03,60553035703.0
2012-07-04,60780327817.0
2012-07-05,60788109948.0
2012-07-06,60910560267.0
2012-07-09,61294142277.0
2012-07-10,61642016090.0
2012-07-11,61783008517.0
2012-07-12,62040102965.0
2012-07-13,62134548240.0
2012-07-16,62174786758.0
2012-07-17,62167658173.0
2012-07-18,62484847535.0
2012-07-19,62395100046.0
2012-07-20,62621732932.0
2012-07-23,62949861978.0
2012-07-24,63139756750.0
2012-07-25,63040826914.0
2012-07-26,63126840646.0
2012-07-27,62931790479.0
2012-07-30,62978627174.0
2012-07-31,62772338672.0
2012-08-01,62888418779.0
2012-08-02,63069007754.0
2012-08-03,63176285266.0
2012-08-06,63536700569.0
2012-08-07,63999413093.0
2012-08-08,64030956819.0
2012-08-09,64448884682.0
2012-08-10,64242656460.0
2012-08-13,64673287974.0
2012-08-14,64911074874.0
2012-08-15,65102519837.0
2012-08-16,65169300648.0
2012-08-17,65375037029.0
2012-08-20,65663620369.0
